face_happy,face_sad,face_angry,face_fear,face_surprise,face_neutral,scroll_speed,time_spent,interaction_count,quiz_response_time,label
0.866,0.031,0.012,0.601,0.708,0.75,0.485,0.893,0.799,0.247,Focused
0.525,0.037,0.061,0.432,0.291,0.608,0.491,0.933,0.606,0.255,Focused
0.514,0.157,0.04,0.592,0.046,0.845,0.242,0.717,0.683,0.337,Focused
0.098,0.162,0.061,0.684,0.44,0.843,0.251,0.626,0.974,0.49,Focused
0.52,0.133,0.062,0.547,0.185,0.649,0.349,0.614,0.955,0.278,Focused
0.196,0.184,0.018,0.045,0.325,0.988,0.433,0.976,0.947,0.379,Focused
0.802,0.109,0.028,0.075,0.987,0.755,0.281,0.931,0.678,0.284,Focused
0.074,0.146,0.154,0.358,0.116,0.909,0.26,0.602,0.908,0.412,Focused
0.638,0.065,0.146,0.887,0.472,0.945,0.387,0.732,0.532,0.293,Focused
0.428,0.099,0.105,0.025,0.108,0.648,0.414,0.904,0.781,0.431,Focused
0.756,0.05,0.082,0.229,0.077,0.613,0.391,0.726,0.754,0.472,Focused
0.187,0.174,0.161,0.893,0.539,0.716,0.248,0.972,0.904,0.39,Focused
0.861,0.085,0.164,0.007,0.511,0.923,0.469,0.727,0.555,0.268,Focused
0.703,0.065,0.104,0.364,0.972,0.767,0.267,0.648,0.669,0.483,Focused
0.503,0.007,0.122,0.051,0.279,0.985,0.276,0.799,0.65,0.285,Focused
0.762,0.048,0.134,0.238,0.728,0.963,0.272,0.658,0.745,0.496,Focused
0.187,0.167,0.064,0.041,0.591,0.747,0.39,0.853,0.768,0.227,Focused
0.387,0.035,0.138,0.937,0.138,0.871,0.205,0.805,0.613,0.394,Focused
0.555,0.132,0.163,0.53,0.242,0.736,0.234,0.97,0.939,0.277,Focused
0.897,0.07,0.145,0.887,0.78,0.637,0.469,0.96,0.817,0.302,Focused
0.664,0.002,0.02,0.005,0.161,0.857,0.225,0.665,0.949,0.382,Focused
0.746,0.047,0.065,0.65,0.849,0.819,0.408,0.861,0.612,0.414,Focused
0.393,0.049,0.195,0.892,0.631,0.863,0.37,0.637,0.684,0.28,Focused
0.024,0.144,0.056,0.645,0.177,0.918,0.351,0.831,0.746,0.259,Focused
0.967,0.186,0.086,0.964,0.853,0.976,0.486,0.966,0.685,0.205,Focused
0.696,0.111,0.187,0.57,0.097,0.718,0.316,0.94,0.658,0.251,Focused
0.702,0.148,0.139,0.359,0.294,0.846,0.497,0.656,0.759,0.463,Focused
0.65,0.1,0.16,0.702,0.796,0.924,0.443,0.947,0.957,0.353,Focused
0.543,0.007,0.093,0.287,0.591,0.956,0.301,0.75,0.547,0.373,Focused
0.216,0.104,0.154,0.623,0.085,0.612,0.211,0.929,0.68,0.238,Focused
0.323,0.195,0.103,0.795,0.271,0.621,0.359,0.816,0.819,0.418,Focused
0.173,0.139,0.082,0.156,0.25,0.776,0.224,0.61,0.981,0.451,Focused
0.612,0.148,0.111,0.42,0.248,0.82,0.414,0.864,0.64,0.486,Focused
0.704,0.008,0.171,0.474,0.098,0.742,0.427,0.606,0.558,0.214,Focused
0.045,0.123,0.127,0.375,0.626,0.797,0.342,0.669,0.717,0.32,Focused
